"","Line #","Name","Description","Designator","Revision ID","Revision Status","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","MP2401",,"U2","","","1","","","","","","",""
,"","2.2uH","Multilayer Type Inductor for Power Lines, 1008 (2520), 2.2μH, 20%, 0.1Ω, 1.3A","L1","CMP-1662-00028-2","Up to date","1","Murata","LQM2HPN2R2MG0L","Volume Production","Newark","45Y5436","0.067","0.067"
,"","4.7uF","Multilayer Ceramic Capacitors 4.7μF ±10% 50V X5R SMD 0805","C1, C2","CMP-08246-000007-2","Up to date","2","TDK","C2012X5R1H475K125AB","Volume Production","Newark","04X3280","0.133","0.266"
,"","22uf","CAP CER 22UF 6.3V X5R 0805","C3, C4","CMP-14477-000204-1","Up to date","2","Taiyo Yuden","JMK212BJ226MG-T","Volume Production","Mouser","963-JMK212BJ226MG-T","0.25","0.5"
,"","40v/1.5A","DIODE SCHOTTKY 40V 1.5A SMA","D1, D3","CMP-02539-000025-1","Up to date","2","Vishay","VS-15MQ040NTRPBF","Volume Production","Future Electronics","4106177","0.62","1.24"
,"","BATT","Male Header, Pitch 2.5 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.2 mm, -25 to 85 degC, RoHS, Bulk","J3","CMP-2000-05887-1","Up to date","1","JST","B2B-EH-A","Obsolete","","","",""
,"","632723100011","USB 3.1 Type C Receptacle WR-COM, Horizontal, SMT / THT","J1, J2","CMP-1502-03213-1","Out of date","2","Wurth Electronics","632723100011","Volume Production","Newark","85AC2531","3.24","6.48"
,"","CHG","LED Red, 75 mW, 54 mcd, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","Led1","CMP-2000-07593-1","Up to date","1","Vishay Lite-On","LTST-C170KRKT","Volume Production","Mouser","859-LTST-C170KRKT","0.31","0.31"
,"","1k","Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R1","CMP-2100-03671-1","Up to date","1","Yageo","RC0805FR-071KL","Volume Production","Newark","68X3183","0.005","0.005"
,"","2k","Chip Resistor, 2 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R2","CMP-2001-00026-5","Up to date","1","Panasonic","ERJ-6ENF2001V","Volume Production","Newark","97W7607","0.006","0.006"
,"","56K",,"R3, R4, R11, R12","CMP-1012-00708-2","Up to date","4","Panasonic","ERJ-3EKF5602V","Volume Production","Newark","64R5355","0.003","0.012"
,"","100k","RES Thick Film, 100kΩ, 1%, 0.125W, 100ppm/°C, 0805","R13","CMP-2001-04899-2","Up to date","1","Vishay","CRCW0805100KFKEA","Volume Production","Newark","72M6850","0.009","0.009"
,"","49.9K","RES Thick Film, 49.9kΩ, 1%, 0.125W, 100ppm/°C, 0805","R7, R8","CMP-2001-03952-2","Up to date","2","Vishay","CRCW080549K9FKEA","Volume Production","Newark","53K0291","0.008","0.016"
,"","75K","RES Thick Film, 75kΩ, 1%, 0.125W, 100ppm/°C, 0805","R9, R10","CMP-2001-04106-2","Up to date","2","Vishay","CRCW080575K0FKEA","Volume Production","Farnell","1653035","0.0091","0.09099"
,"","750k",,"R5, R14","CMP-2001-04102-1","Up to date","2","Vishay","CRCW0805750KFKEA","Volume Production","Arrow Electronics","CRCW0805750KFKEA","0.086","0.172"
,"","PWR","SWITCH SLIDE SPDT 300MA 6V","SW1","CMP-2000-06501-2","Up to date","1","ITT C&K","JS102011SAQN","Volume Production","Newark","35AH0889","0.505","0.505"
,"","MCP73831","IC CONTROLLR LI-ION 4.2V SOT23-5","U1","","","1","Microchip","MCP73831T-2ACI/OT","Volume Production","Rs","7386360","0.79295","3.96475"
,"","BLUE","LED BLUE CLEAR CHIP SMD","LED2","CMP-22017-000034-1","Up to date","1","Vishay Lite-On","LTST-C171TBKT","Volume Production","Mouser","859-LTST-C171TBKT","0.32","0.32"
,"","4.7k","RES Thick Film, 4.7kΩ, 1%, 0.125W, 100ppm/°C, 0805","R6","CMP-2100-03615-2","Up to date","1","Vishay","CRCW08054K70FKEA","Volume Production","Newark","53K0216","0.01","0.01"
